Term name	P-D Coefficient
acetyl-CoA:L-glutamate N-acetyltransferase activity	0.362
superoxide-generating NADPH oxidase activator activity	0.362
ATP-dependent DNA helicase activity	0.362
protein methylesterase activity	0.362
aldo-keto reductase (NADP) activity	0.362
4-hydroxy-tetrahydrodipicolinate reductase	0.362
enzyme inhibitor activity	0.362
L-alanine transmembrane transporter activity	0.362
extracellular matrix structural constituent conferring tensile strength	0.362
hyalurononglucosaminidase activity	0.362
sequence-specific DNA binding RNA polymerase I transcription factor activity	0.361
omega-3 fatty acid desaturase activity	0.361
Y-form DNA binding	0.361
siRNA binding	0.361
protein-glutamine gamma-glutamyltransferase activity	0.361
MHC class I receptor activity	0.361
flavin adenine dinucleotide binding	0.361
oxygen sensor activity	0.361
hydroxyacid-oxoacid transhydrogenase activity	0.361
oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	0.361
microtubule motor activity	0.360
protein transporter activity	0.360
deoxyguanosine kinase activity	0.360
ceramide cholinephosphotransferase activity	0.360
sphingomyelin synthase activity	0.360
RNA polymerase I CORE element sequence-specific DNA binding transcription factor activity	0.360
protein complex binding	0.360
GTPase activator activity	0.360
NADPH binding	0.360
calcium channel regulator activity	0.360
transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity	0.359
3-hydroxyisobutyryl-CoA hydrolase activity	0.359
glycine binding	0.359
receptor binding	0.359
apolipoprotein binding	0.358
phosphotransferase activity, for other substituted phosphate groups	0.358
signaling receptor activity	0.358
hexosaminidase activity	0.358
heme transporter activity	0.358
rRNA methyltransferase activity	0.358
RNA polymerase II regulatory region sequence-specific DNA binding	0.358
nitrate reductase (NADH) activity	0.358
glucose-1-phosphate adenylyltransferase activity	0.357
sterol binding	0.357
pyruvate dehydrogenase (acetyl-transferring) kinase activity	0.357
aminoacyl-tRNA hydrolase activity	0.357
mannose-phosphate guanylyltransferase activity	0.357
phosphatidic acid binding	0.357
calcium-dependent phospholipase A2 activity	0.357
transcription corepressor activity	0.356
Ras guanyl-nucleotide exchange factor activity	0.356
phosphatidylinositol-4-phosphate binding	0.356
alcohol dehydrogenase (NADP+) activity	0.356
protein C-terminal methylesterase activity	0.356
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines	0.356
cytoskeletal protein binding	0.356
transcription regulatory region DNA binding	0.356
poly(G) RNA binding	0.356
Rap GTPase activator activity	0.356
pre-mRNA binding	0.356
Rap guanyl-nucleotide exchange factor activity	0.356
SH2 domain binding	0.356
death receptor binding	0.356
single-stranded DNA-dependent ATPase activity	0.355
nucleotidyltransferase activity	0.355
cholesterol binding	0.355
Rab GTPase activator activity	0.355
tumor necrosis factor receptor superfamily binding	0.355
mannose-1-phosphate guanylyltransferase activity	0.355
arylesterase activity	0.354
mannosyltransferase activity	0.354
glutaminyl-peptide cyclotransferase activity	0.354
cysteine-type endopeptidase regulator activity involved in apoptotic process	0.354
motor activity	0.354
calcium-dependent phospholipid binding	0.354
adenylylsulfate kinase activity	0.354
FAD binding	0.354
core promoter sequence-specific DNA binding	0.354
filamin binding	0.353
phosphatase activity	0.353
steroid hormone receptor binding	0.353
cAMP response element binding	0.353
dihydrokaempferol 4-reductase activity	0.352
steroid hydroxylase activity	0.352
3',5'-cyclic-AMP phosphodiesterase activity	0.352
TBP-class protein binding	0.352
MAP kinase phosphatase activity	0.352
receptor signaling complex scaffold activity	0.352
phosphatidylserine binding	0.352
cytokine receptor binding	0.352
phosphatidylinositol transporter activity	0.352
beta-galactoside (CMP) alpha-2,3-sialyltransferase activity	0.351
L-arabinokinase activity	0.351
Rac GTPase binding	0.351
lysophospholipase activity	0.351
RNA polymerase I transcription factor recruiting transcription factor activity	0.351
repressing transcription factor binding	0.351
metallocarboxypeptidase activity	0.351
tyrosyl-DNA phosphodiesterase activity	0.351
SH3 domain binding	0.351
peptidase activator activity	0.350
Rho guanyl-nucleotide exchange factor activity	0.350
androsterone dehydrogenase (B-specific) activity	0.350
mRNA 3'-UTR binding	0.350
kinesin binding	0.350
CoA hydrolase activity	0.350
interleukin-10 receptor activity	0.350
anion channel activity	0.350
titin binding	0.350
thrombospondin receptor activity	0.350
solute:sodium symporter activity	0.349
efflux transmembrane transporter activity	0.349
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen	0.349
phosphatidylinositol binding	0.349
estrogen receptor binding	0.349
DNA binding	0.349
poly(A)-specific ribonuclease activity	0.349
phosphatidylcholine 1-acylhydrolase activity	0.349
SUMO-specific isopeptidase activity	0.349
blue light photoreceptor activity	0.348
leukotriene receptor activity	0.348
4 iron, 4 sulfur cluster binding	0.348
glycosylceramidase activity	0.348
transforming growth factor beta receptor, common-partner cytoplasmic mediator activity	0.348
coreceptor activity	0.348
tRNA (guanine) methyltransferase activity	0.348
phosphatidylinositol-3,5-bisphosphate binding	0.348
3'-tyrosyl-DNA phosphodiesterase activity	0.347
binding	0.347
RNA polymerase II core binding	0.347
inositol trisphosphate phosphatase activity	0.347
hyaluronan synthase activity	0.347
beta-tubulin binding	0.347
lipid kinase activity	0.347
inhibitory MHC class I receptor activity	0.347
enhancer sequence-specific DNA binding	0.347
molecular_function	0.347
amidophosphoribosyltransferase activity	0.347
poly-purine tract binding	0.346
red light photoreceptor activity	0.346
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor	0.346
RNA polymerase II repressing transcription factor binding	0.346
gamma-tubulin binding	0.346
GDP-L-fucose synthase activity	0.345
inositol-polyphosphate 5-phosphatase activity	0.345
adenylyltransferase activity	0.345
dephospho-CoA kinase activity	0.345
dynein binding	0.345
deacetylase activity	0.345
peptidase activity	0.345
ATPase regulator activity	0.345
oxidoreductase activity, acting on peroxide as acceptor	0.345
isoamylase activity	0.344
calmodulin-dependent protein kinase activity	0.344
androgen receptor binding	0.344
Tat protein binding	0.344
transcription coactivator activity	0.344
glycerophosphodiester phosphodiesterase activity	0.343
phosphatidylinositol trisphosphate phosphatase activity	0.343
retinol dehydrogenase activity	0.343
phosphorylase kinase regulator activity	0.343
inositol phosphate phosphatase activity	0.343
hydrolase activity, acting on ester bonds	0.343
histone methyltransferase activity	0.343
phosphatidylinositol phospholipase C activity	0.343
nucleoside-triphosphatase regulator activity	0.343
selenium binding	0.342
sterol response element binding	0.342
14-3-3 protein binding	0.342
ketosteroid monooxygenase activity	0.342
histone deacetylase binding	0.342
histone acetyltransferase regulator activity	0.342
transition metal ion binding	0.342
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	0.342
fatty acid binding	0.341
dopamine transmembrane transporter activity	0.341
UFM1 conjugating enzyme activity	0.341
parathyroid hormone receptor activity	0.341
misfolded protein binding	0.341
peptide transporter activity	0.341
intramolecular oxidoreductase activity	0.341
L-asparagine transmembrane transporter activity	0.341
cytochrome-b5 reductase activity, acting on NAD(P)H	0.341
myosin binding	0.341
HLA-B specific inhibitory MHC class I receptor activity	0.340
HLA-A specific inhibitory MHC class I receptor activity	0.340
ATP-dependent protein binding	0.340
C-acyltransferase activity	0.340
GTPase regulator activity	0.340
plus-end-directed microtubule motor activity	0.340
endopeptidase activator activity	0.339
RNA polymerase II distal enhancer sequence-specific DNA binding	0.339
phytoceramidase activity	0.339
phosphatidylinositol phosphate phosphatase activity	0.339
intramolecular lyase activity	0.339
protein phosphatase 2A binding	0.339
inositol bisphosphate phosphatase activity	0.339
protein deacetylase activity	0.339
guanidinoacetate N-methyltransferase activity	0.339
alkane 1-monooxygenase activity	0.339
SUMO ligase activity	0.339
peptidase activity, acting on L-amino acid peptides	0.339
E-box binding	0.339
aromatic amino acid transmembrane transporter activity	0.338
5'-3' exonuclease activity	0.338
oxidoreductase activity, acting on NAD(P)H	0.338
protein tyrosine kinase activator activity	0.338
protein-arginine deiminase activity	0.338
phosphatidylinositol monophosphate phosphatase activity	0.338
ribonuclease MRP activity	0.338
protein tyrosine/serine/threonine phosphatase activity	0.337
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	0.337
carboxyl-O-methyltransferase activity	0.337
methylcytosine dioxygenase activity	0.337
intramolecular oxidoreductase activity, interconverting keto- and enol-groups	0.337
arachidonic acid monooxygenase activity	0.337
N-methyltransferase activity	0.337
macromolecule transmembrane transporter activity	0.337
clathrin adaptor activity	0.336
calcium-dependent protein serine/threonine phosphatase activity	0.336
NEDD8 ligase activity	0.336
intramolecular oxidoreductase activity, transposing S-S bonds	0.336
RNA polymerase II core promoter sequence-specific DNA binding	0.336
phosphatidylinositol-3-phosphatase activity	0.336
histone kinase activity (H3-T3 specific)	0.336
fucosyltransferase activity	0.336
phenanthrene 9,10-monooxygenase activity	0.336
uniporter activity	0.335
G-protein coupled peptide receptor activity	0.335
annealing helicase activity	0.335
transferase activity, transferring sulfur-containing groups	0.335
cell adhesion molecule binding	0.335
arginine N-methyltransferase activity	0.335
hydrolase activity, acting on acid carbon-carbon bonds	0.335
hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances	0.335
NAD-dependent protein deacetylase activity	0.335
receptor tyrosine kinase binding	0.335
U6 snRNA binding	0.335
angiostatin binding	0.335
MHC class II receptor activity	0.335
magnesium ion transmembrane transporter activity	0.335
complement binding	0.334
acetylgalactosaminyltransferase activity	0.334
calmodulin-dependent protein phosphatase activity	0.334
RNA polymerase II carboxy-terminal domain kinase activity	0.334
metallopeptidase activity	0.334
cation:chloride symporter activity	0.334
beta-galactosyl-N-acetylglucosaminylgalactosylglucosyl-ceramide beta-1,3-acetylglucosaminyltransferase activity	0.334
cGMP-inhibited cyclic-nucleotide phosphodiesterase activity	0.334
cGMP-stimulated cyclic-nucleotide phosphodiesterase activity	0.333
cytokine binding	0.333
acetylglucosaminyltransferase activity	0.333
molecular transducer activity	0.333
signal transducer activity	0.333
lipid binding	0.333
vitamin transmembrane transporter activity	0.333
phosphatidylcholine binding	0.333
inositol-3-phosphate synthase activity	0.333
phospholipase D activity	0.333
chemokine activity	0.332
acetyl-CoA C-acyltransferase activity	0.332
glutathione binding	0.332
activating transcription factor binding	0.332
mRNA (nucleoside-2'-O-)-methyltransferase activity	0.332
anion:cation symporter activity	0.332
protein N-terminus binding	0.331
NF-kappaB binding	0.331
lipopolysaccharide receptor activity	0.331
far-red light photoreceptor activity	0.331
CTP synthase activity	0.331
disulfide oxidoreductase activity	0.331
GDP-4-dehydro-D-rhamnose reductase activity	0.331
pantetheine-phosphate adenylyltransferase activity	0.331
nucleic acid binding transcription factor activity	0.331
sequence-specific DNA binding transcription factor activity	0.331
RNA 7-methylguanosine cap binding	0.331
RNA polymerase II core promoter proximal region sequence-specific DNA binding	0.331
opsonin binding	0.330
G-protein coupled chemoattractant receptor activity	0.330
